City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Saint George,US,37.1041,-113.5841,61.39,19,0,1.01,clear sky
80,Hualmay,PE,-11.0964,-77.6139,71.38,80,100,9.6,overcast clouds
81,Bulgan,MN,48.8125,103.5347,-11.87,96,90,0.74,overcast clouds
82,Lompoc,US,34.6391,-120.4579,69.57,72,0,1.01,clear sky
83,Puerto Suarez,BO,-18.95,-57.8,82.53,57,94,0.43,overcast clouds
84,Lata,PT,40.1629,-8.3327,53.82,94,33,3.0,scattered clouds
85,Guerrero Negro,MX,27.9769,-114.0611,69.04,38,6,9.66,clear sky
86,Prince Rupert,CA,54.3161,-130.3201,46.09,87,100,6.91,overcast clouds
87,San Patricio,US,28.017,-97.5169,53.83,39,92,8.39,overcast clouds
88,Mataura,NZ,-46.1927,168.8643,66.47,35,100,2.75,overcast clouds
89,Bluff,NZ,-46.6,168.3333,66.79,63,100,1.57,overcast clouds
90,Cabo San Lucas,MX,22.8909,-109.9124,77.31,33,20,5.75,few clouds
91,Dikson,RU,73.5069,80.5464,-5.42,88,100,23.17,overcast clouds
92,La Ronge,CA,55.1001,-105.2842,7.05,78,100,8.05,overcast clouds
93,Atuona,PF,-9.8,-139.0333,77.61,79,17,13.56,light rain
94,Menongue,AO,-14.6585,17.691,63.46,94,100,2.64,overcast clouds
95,Liepaja,LV,56.5419,21.0367,35.65,87,0,13.8,clear sky
96,Jumla,NP,29.2747,82.1838,31.51,62,0,6.2,clear sky
97,Kindu,CD,-2.95,25.95,69.01,98,99,2.89,overcast clouds
98,Mangan,IN,27.5167,88.5333,56.3,40,0,3.67,clear sky
99,Fairbanks,US,64.8378,-147.7164,9.3,82,100,4.61,light snow
100,Nishihara,JP,26.1842,127.7558,64.06,88,75,19.57,broken clouds
101,Cherskiy,RU,68.75,161.3,-21.87,97,95,6.29,overcast clouds
102,Progreso,MX,21.2833,-89.6667,70.11,70,95,20.87,overcast clouds
103,Manta,EC,-0.95,-80.7333,78.58,83,75,5.75,broken clouds
104,Margate,GB,51.3813,1.3862,48.69,86,100,8.99,overcast clouds
105,Natal,BR,-5.795,-35.2094,81.25,83,40,9.22,scattered clouds
106,Camacupa,AO,-12.0167,17.4833,61.41,94,96,2.48,overcast clouds
107,Mandalgovi,MN,45.7625,106.2708,-4.74,89,62,10.11,broken clouds
108,Gizo,SB,-8.103,156.8419,84.49,69,78,6.4,broken clouds
109,Edgewater,US,28.9889,-80.9023,63.0,62,30,14.56,scattered clouds
110,Necochea,AR,-38.5473,-58.7368,56.03,52,0,6.24,clear sky
111,Dunedin,NZ,-45.8742,170.5036,61.81,61,72,8.99,broken clouds
112,Kattivakkam,IN,13.2167,80.3167,79.07,78,21,6.46,few clouds
113,Nianzishan,CN,47.5167,122.8833,3.96,73,43,4.59,scattered clouds
114,East London,ZA,-33.0153,27.9116,71.31,81,20,9.95,few clouds
115,Beringovskiy,RU,63.05,179.3167,-20.47,95,28,9.19,scattered clouds
116,Qasigiannguit,GL,68.8193,-51.1922,7.05,99,100,8.12,light snow
117,Kouroussa,GN,10.65,-9.8833,71.4,17,8,3.69,clear sky
118,New Norfolk,AU,-42.7826,147.0587,67.91,51,96,3.0,overcast clouds
119,Hobart,AU,-42.8794,147.3294,68.27,66,75,12.66,broken clouds
120,Malumfashi,NG,11.7853,7.6218,64.81,16,88,8.19,overcast clouds
121,Mayskiy,RU,47.6931,40.1025,20.61,74,1,3.6,clear sky
122,Sao Felix Do Xingu,BR,-6.6447,-51.995,70.38,90,100,1.45,overcast clouds
123,Houlton,US,46.1262,-67.8403,2.71,61,0,6.91,clear sky
124,Khudumelapye,BW,-23.8833,24.75,68.25,41,2,5.37,clear sky
125,Mareeba,AU,-17.0,145.4333,82.44,63,56,7.74,broken clouds
126,Tessalit,ML,20.1986,1.0114,60.03,23,60,10.8,broken clouds
127,Barrow,US,71.2906,-156.7887,-27.38,68,75,8.05,broken clouds
128,Brockville,CA,44.5834,-75.6826,6.58,75,100,4.32,overcast clouds
129,Yellowknife,CA,62.456,-114.3525,-19.59,90,40,5.75,scattered clouds
130,Vila,PT,42.0304,-8.1588,42.33,93,92,6.51,light snow
131,Kamiiso,JP,41.8167,140.65,35.98,55,20,10.36,few clouds
132,Clyde River,CA,70.4692,-68.5914,-14.57,76,100,26.46,light snow
133,Huilong,CN,31.8111,121.655,46.98,58,0,10.09,clear sky
134,Ponta Do Sol,PT,32.6667,-17.1,61.72,72,88,1.3,overcast clouds
135,Cayenne,GF,4.9333,-52.3333,80.1,85,75,4.0,broken clouds
136,Zonalnaya Stantsiya,RU,56.4269,85.0221,18.32,85,100,6.71,shower snow
137,Grand Gaube,MU,-20.0064,57.6608,81.0,80,100,7.0,overcast clouds
138,Hilo,US,19.7297,-155.09,78.53,72,20,8.05,few clouds
139,Arraial Do Cabo,BR,-22.9661,-42.0278,75.43,92,16,15.43,few clouds
140,Osa,RU,57.2829,55.4567,-0.87,100,100,1.1,overcast clouds
141,Port Elizabeth,ZA,-33.918,25.5701,66.49,94,100,8.05,overcast clouds
142,Owando,CG,-0.4819,15.8999,70.88,94,61,3.09,broken clouds
143,Carballo,ES,43.213,-8.691,50.76,90,46,7.63,scattered clouds
144,Vestmannaeyjar,IS,63.4427,-20.2734,34.72,75,100,31.29,overcast clouds
145,Tocopilla,CL,-22.092,-70.1979,70.57,72,20,7.29,few clouds
146,Korla,CN,41.7597,86.1469,27.27,52,9,3.89,clear sky
147,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,78,100,8.05,overcast clouds
148,Carauari,BR,-4.8828,-66.8958,73.08,100,100,1.1,light rain
149,Oildale,US,35.4197,-119.0195,70.61,33,0,4.61,clear sky
150,Kavieng,PG,-2.5744,150.7967,84.43,70,84,6.33,light rain
151,Rodos,GR,36.4408,28.2225,55.06,61,40,14.97,scattered clouds
152,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,74.91,70,100,5.66,overcast clouds
153,Kousseri,CM,12.0769,15.0306,70.92,31,72,8.32,broken clouds
154,Monterey,US,36.2505,-121.2516,65.05,42,6,7.05,clear sky
155,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,59,0,14.97,clear sky
156,Umm Lajj,SA,25.0213,37.2685,66.02,32,0,10.51,clear sky
157,Katsuura,JP,35.1333,140.3,46.11,68,99,23.6,overcast clouds
158,Campo Verde,BR,-20.4167,-54.0667,78.01,46,80,4.7,broken clouds
159,Chiriqui Grande,PA,8.95,-82.1167,82.08,89,77,7.11,broken clouds
160,Hami,CN,42.8,93.45,25.14,44,12,6.55,few clouds
161,Kungurtug,RU,50.5994,97.5228,-17.28,92,46,1.32,scattered clouds
162,Abu Dhabi,AE,24.4667,54.3667,62.96,85,0,10.36,clear sky
163,Provideniya,RU,64.3833,-173.3,-3.89,65,0,8.95,clear sky
164,Martapura,ID,-3.4167,114.85,86.09,70,0,2.3,clear sky
165,Shatalovo,RU,54.334,32.4465,20.86,90,93,13.11,overcast clouds
166,Ahipara,NZ,-35.1667,173.1667,70.84,55,17,11.52,few clouds
167,Rakkestad,NO,59.4251,11.3454,39.11,97,100,8.59,light rain
168,Vitoria Da Conquista,BR,-14.8661,-40.8394,65.03,97,99,4.88,heavy intensity rain
169,Inhambane,MZ,-23.865,35.3833,75.33,83,0,7.43,clear sky
170,Yar-Sale,RU,66.8333,70.8333,-19.86,99,100,7.25,overcast clouds
171,Sarlat-La-Caneda,FR,44.889,1.2166,50.67,92,100,9.37,overcast clouds
172,Samarai,PG,-10.6167,150.6667,83.23,69,69,7.92,broken clouds
173,Codrington,AU,-38.2667,141.9667,71.44,60,25,10.71,scattered clouds
174,Ixtapa,MX,20.7,-105.2,75.22,64,75,2.3,broken clouds
175,Saint-Georges,GD,12.0564,-61.7485,76.68,83,20,6.91,few clouds
176,Pascagoula,US,30.3658,-88.5561,42.85,80,0,0.0,clear sky
177,Te Anau,NZ,-45.4167,167.7167,68.36,45,100,1.74,overcast clouds
178,Butaritari,KI,3.0707,172.7902,81.12,77,32,12.28,light rain
179,Talcahuano,CL,-36.7167,-73.1167,60.48,77,100,6.91,overcast clouds
180,Lavrentiya,RU,65.5833,-171.0,-18.63,93,13,2.21,few clouds
181,Carnarvon,AU,-24.8667,113.6333,86.07,74,5,11.5,clear sky
182,Avera,US,33.194,-82.5271,46.71,34,0,15.39,clear sky
183,Hirara,JP,24.8,125.2833,66.47,82,75,23.02,broken clouds
184,Mantua,IT,45.1667,10.7833,41.74,77,54,1.99,broken clouds
185,Oussouye,SN,12.485,-16.5469,69.98,22,4,5.17,clear sky
186,Bambous Virieux,MU,-20.3428,57.7575,80.85,89,40,6.91,moderate rain
187,Narwana,IN,29.6167,76.1167,50.11,73,0,4.32,clear sky
188,East Patchogue,US,40.767,-72.9962,28.58,87,100,11.5,snow
189,Cam Ranh,VN,11.9214,109.1591,80.56,74,40,9.22,scattered clouds
190,Tecoanapa,MX,16.5167,-98.75,79.66,69,89,4.23,overcast clouds
191,College,US,64.8569,-147.8028,9.28,82,100,4.61,light snow
192,Boffa,GN,10.1667,-14.0333,74.5,88,9,3.24,clear sky
193,Broken Hill,AU,-31.95,141.4333,94.71,17,97,8.05,overcast clouds
194,Luebo,CD,-5.35,21.4167,69.87,93,100,2.1,overcast clouds
195,San Felipe,VE,10.3399,-68.7425,69.8,94,48,4.83,scattered clouds
196,Sao Filipe,CV,14.8961,-24.4956,73.36,68,84,10.76,broken clouds
197,Pisco,PE,-13.7,-76.2167,69.85,73,0,9.22,clear sky
198,Paamiut,GL,61.994,-49.6678,10.36,90,100,17.74,overcast clouds
199,Yatou,CN,37.15,122.3833,31.8,74,100,20.18,overcast clouds
200,Vardo,NO,70.3705,31.1107,23.59,87,100,17.11,light snow
201,Chokurdakh,RU,70.6333,147.9167,-14.03,97,83,8.32,broken clouds
202,Caravelas,BR,-17.7125,-39.2481,75.09,91,95,4.72,overcast clouds
203,Talnakh,RU,69.4865,88.3972,-8.05,70,10,8.79,clear sky
204,Adrar,MR,20.5022,-10.0711,59.85,24,95,10.83,overcast clouds
205,Tuktoyaktuk,CA,69.4541,-133.0374,-31.0,75,75,9.22,broken clouds
206,Bengkulu,ID,-3.8004,102.2655,81.36,71,99,2.77,overcast clouds
207,Pacific Grove,US,36.6177,-121.9166,72.0,85,100,3.44,fog
208,Bella Vista,US,36.4295,-94.2316,36.52,56,0,3.44,clear sky
209,Karratha,AU,-20.7377,116.8463,95.85,38,60,9.01,broken clouds
210,Ingham,US,42.6,-84.3833,14.18,87,75,0.0,broken clouds
211,Besikduzu,TR,41.052,39.2284,44.49,89,100,2.57,overcast clouds
212,Jangaon,IN,17.7167,79.1833,62.74,94,10,4.36,clear sky
213,Mackay,AU,-21.15,149.2,85.98,66,43,21.85,scattered clouds
214,Tiznit,MA,29.5833,-9.5,52.41,50,0,3.51,clear sky
215,Nanortalik,GL,60.1432,-45.2371,20.71,94,100,27.2,snow
216,Nikolskoye,RU,59.7035,30.7861,36.88,91,100,11.54,overcast clouds
217,Jerantut,MY,3.936,102.3626,78.46,86,99,1.34,overcast clouds
218,Bomet,KE,-0.7813,35.3416,55.11,82,91,2.77,overcast clouds
219,Georgetown,MY,5.4112,100.3354,84.13,76,20,5.75,few clouds
220,Kruisfontein,ZA,-34.0033,24.7314,65.88,92,100,11.9,light rain
221,Muroto,JP,33.2833,134.15,50.04,61,100,17.31,overcast clouds
222,Neuquen,AR,-38.9516,-68.0591,71.49,64,0,3.44,clear sky
223,Imbituba,BR,-28.24,-48.6703,76.82,94,56,4.5,broken clouds
224,Rinconada,MX,19.35,-96.5167,63.25,59,100,3.98,overcast clouds
225,San Quintin,MX,30.4833,-115.95,66.81,39,0,8.43,clear sky
226,Salinopolis,BR,-0.6136,-47.3561,77.85,89,100,10.18,heavy intensity rain
227,Gingoog,PH,8.8243,125.1042,80.94,58,52,4.79,broken clouds
228,Boyolangu,ID,-8.1181,111.8935,77.04,88,99,2.46,moderate rain
229,Honiara,SB,-9.4333,159.95,82.42,82,97,7.36,moderate rain
230,Biak,ID,-0.9131,122.8766,81.73,68,78,0.81,broken clouds
231,Nuuk,GL,64.1835,-51.7216,5.61,85,75,5.75,broken clouds
232,Esperance,AU,-33.8667,121.9,75.04,59,65,11.14,light rain
233,San Policarpo,PH,12.1791,125.5072,81.25,70,100,11.48,overcast clouds
234,Niono,ML,14.2526,-5.993,66.81,16,2,10.13,clear sky
235,Chum Phae,TH,16.5443,102.0992,76.8,66,77,6.26,light rain
236,Griffith,US,41.5284,-87.4237,14.9,67,0,8.05,clear sky
237,Port Hardy,CA,50.6996,-127.4199,49.75,71,100,5.75,overcast clouds
238,Baykit,RU,61.67,96.37,-20.63,100,55,3.56,broken clouds
239,Yulara,AU,-25.2406,130.9889,93.04,10,2,13.8,clear sky
240,Nouadhibou,MR,20.931,-17.0347,64.38,77,99,18.41,overcast clouds
241,Lyss,CH,47.0741,7.3066,38.25,81,8,2.3,clear sky
242,Forestville,US,38.8451,-76.875,31.46,65,0,9.22,clear sky
243,Parana,AR,-31.732,-60.5238,68.52,37,0,4.12,clear sky
244,Odweyne,SO,9.4092,45.064,63.0,39,94,10.96,overcast clouds
245,Klaksvik,FO,62.2266,-6.589,34.72,65,100,28.7,overcast clouds
246,Khelyulya,RU,61.7333,30.6833,33.57,98,100,11.56,light snow
247,Moranbah,AU,-22.0016,148.0466,85.98,43,16,21.23,few clouds
248,Dingle,PH,10.9995,122.6711,83.37,70,100,10.18,overcast clouds
249,Sibay,RU,52.7181,58.6658,9.41,94,96,6.24,overcast clouds
250,Santa Catalina,PH,9.3337,122.8637,84.24,65,100,6.08,overcast clouds
251,Leningradskiy,RU,69.3833,178.4167,-16.44,90,77,5.48,broken clouds
252,Yerbogachen,RU,61.2767,108.0108,-21.05,99,88,3.67,overcast clouds
253,Havelock,US,34.8791,-76.9013,44.83,81,100,1.99,overcast clouds
254,Kahului,US,20.8947,-156.47,78.82,67,40,13.8,scattered clouds
255,Namibe,AO,-15.1961,12.1522,73.69,84,100,1.68,overcast clouds
256,Airai,TL,-8.9266,125.4092,72.54,59,23,2.44,few clouds
257,Honningsvag,NO,70.9821,25.9704,21.94,87,100,11.59,overcast clouds
258,Lamu,KE,-2.2717,40.902,77.22,87,97,8.05,overcast clouds
259,Mao,ES,39.8885,4.2658,54.16,82,75,13.8,broken clouds
260,Zaozerne,UA,45.1582,33.2787,34.92,74,100,17.76,overcast clouds
