City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
270,Port Moresby,PG,89.02,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
271,Kalmunai,LK,77.81,broken clouds,7.4167,81.8167,VS Villa
274,La Asuncion,VE,78.53,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
275,Mumford,GH,78.84,light rain,5.2618,-0.759,Spanish Villa
279,Mahebourg,MU,80.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
288,Hobyo,SO,76.59,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
291,San Juan,AR,77.65,clear sky,-31.5375,-68.5364,Hotel Provincial
293,San Luis Rio Colorado,MX,77.77,clear sky,32.4631,-114.7767,María Isabel Hernández Jiménez José de
296,Isangel,VU,85.69,broken clouds,-19.55,169.2667,Tanna Lodge
300,Samarinda,ID,79.7,overcast clouds,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
306,Conde,BR,80.06,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
308,Tarakan,ID,83.7,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
311,Sarangani,PH,81.34,broken clouds,5.4033,125.4636,Ballistic Islet
314,Poum,NC,82.89,overcast clouds,-20.2333,164.0167,
315,Cockburn Town,TC,77.65,clear sky,21.4612,-71.1419,Osprey Beach Hotel
319,Kiama,AU,84.38,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
324,Sinjai,ID,76.84,overcast clouds,-5.1241,120.253,Wisma Sandika
329,Itarema,BR,79.45,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
335,Charters Towers,AU,85.21,few clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
336,Tual,ID,80.67,broken clouds,-5.6667,132.75,Grand Vilia Hotel
350,Vila Velha,BR,75.15,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
356,Kapoeta,SS,81.32,overcast clouds,4.7717,33.5903,Eastgate Hotel
359,Saint-Pierre,RE,80.24,clear sky,-21.3393,55.4781,Lindsey Hôtel
370,Touros,BR,81.5,clear sky,-5.1989,-35.4608,INN NEW HORIZON
374,Quatre Cocos,MU,80.71,moderate rain,-20.2078,57.7625,Sunrise Attitude Hotel
387,Hervey Bay,AU,82.51,few clouds,-25.2986,152.8535,Shelly Bay Resort
390,Aquiraz,BR,83.17,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
392,Temerloh,MY,78.49,overcast clouds,3.4483,102.4176,U Design Hotel Temerloh
401,Mount Gambier,AU,76.91,few clouds,-37.8333,140.7667,The Commodore
405,Savannah Bight,HN,79.0,clear sky,16.45,-85.85,Villa on Dunbar Rock
407,Kirakira,SB,80.04,overcast clouds,-10.4544,161.9205,SanBiz Lodge
409,Saint-Paul,RE,80.69,clear sky,-21.0096,55.2707,Boucan Canot
411,Kupang,ID,84.11,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
414,Meulaboh,ID,79.2,overcast clouds,4.1363,96.1285,Kost Pria
